customer_name,amount,sale_date
Northstar Foods,42000,2026-04-12
Northstar Foods,38000,2026-05-18
Northstar Foods,45000,2026-06-21
Northstar Foods,41000,2026-08-14
Vertex Mobility,62000,2026-04-08
Vertex Mobility,58000,2026-05-16
Vertex Mobility,64000,2026-06-19
Vertex Mobility,61000,2026-08-09
Cedar Health,42000,2026-04-20
Cedar Health,39000,2026-05-22
Cedar Health,22000,2026-07-18
Cedar Health,12000,2026-08-24
Brightline Labs,72000,2026-04-05
Brightline Labs,76000,2026-05-14
Brightline Labs,81000,2026-06-16
Brightline Labs,79000,2026-08-12
Harbor Hotels,33000,2026-04-16
Harbor Hotels,31000,2026-05-17
Harbor Hotels,35000,2026-06-20
Harbor Hotels,34000,2026-08-15
Atlas Manufacturing,68000,2026-04-11
Atlas Manufacturing,65000,2026-05-20
Atlas Manufacturing,71000,2026-06-24
Atlas Manufacturing,69000,2026-08-11
Futura Energy,54000,2026-04-07
Futura Energy,49000,2026-05-13
Futura Energy,21000,2026-07-16
Futura Energy,9000,2026-08-26
BluePeak Media,28000,2026-04-19
BluePeak Media,26000,2026-05-21
BluePeak Media,29000,2026-06-23
BluePeak Media,27000,2026-08-17
